Date,Price,Open,High,Low,Vol.,Change %,SMA-20,BB-upper,BB-lower,Gain / Loss,Average Gain,Average loss,RS,RSI
25-Jun-18,2722.25,2757.00,2758.00,2700.50,2.21M,-1.35%,"2,756.49",2811.523585,2701.461415,-37.25,6.77,-6.7575,1.001849797,50.04620218
22-Jun-18,2759.50,2750.50,2768.50,2749.25,1.11M,0.25%,"2,756.48",2811.543938,2701.416062,7,6.77,-5.27,1.284629981,56.22923588
21-Jun-18,2752.50,2771.75,2785.25,2747.00,1.49M,-0.70%,"2,754.98",2811.317287,2698.642713,-19.5,6.9825,-5.27,1.324952562,56.98836972
20-Jun-18,2772.00,2765.25,2778.25,2757.25,1.08M,0.21%,"2,753.27",2811.955374,2694.579626,5.75,6.9825,-4.7575,1.467682606,59.47614991
19-Jun-18,2766.25,2778.25,2780.25,2735.75,1.66M,-0.49%,"2,751.04",2810.11304,2691.97196,-13.5,6.695,-4.92,1.360772358,57.64098149
18-Jun-18,2779.75,2780.00,2786.75,2761.25,993.12K,0.10%,"2,749.27",2808.547063,2689.987937,2.9,6.9325,-4.245,1.633097762,62.02191903
15-Jun-18,2776.85,2782.50,2784.00,2766.25,45.30K,-0.23%,"2,746.58",2804.906769,2688.253231,-6.4,6.7875,-4.595,1.477149075,59.63101252
14-Jun-18,2783.25,2773.25,2789.25,2767.50,398.11K,0.32%,"2,744.39",2801.200322,2687.574678,9,7.7875,-4.275,1.821637427,64.55958549
13-Jun-18,2774.25,2788.00,2791.75,2773.75,614.17K,-0.35%,"2,740.88",2796.239225,2685.510775,-9.75,7.3375,-4.5625,1.608219178,61.65966387
12-Jun-18,2784.00,2781.25,2789.75,2778.50,988.75K,0.04%,"2,738.10",2791.963961,2684.236039,1,7.3375,-4.2875,1.711370262,63.11827957
11-Jun-18,2783.00,2771.00,2790.50,2770.50,1.22M,0.15%,"2,735.05",2784.715089,2685.384911,4.25,7.9875,-4.2875,1.862973761,65.0712831
8-Jun-18,2778.75,2771.00,2779.75,2752.00,1.37M,0.23%,"2,731.35",2776.823069,2685.876931,6.5,7.775,-5.3875,1.443155452,59.06932574
7-Jun-18,2772.25,2773.25,2779.75,2760.00,1.77M,0.00%,"2,728.96",2768.59611,2689.32889,0,7.525,-5.3875,1.39675174,58.2768635
6-Jun-18,2772.25,2751.00,2774.75,2748.00,1.33M,0.75%,"2,726.83",2760.842062,2692.807938,20.75,8.0625,-5.3875,1.496519722,59.94423792
5-Jun-18,2751.50,2746.00,2753.25,2739.00,1.03M,0.22%,"2,724.15",2750.727295,2697.572705,6,8.1625,-5.3875,1.515081206,60.2398524
4-Jun-18,2745.50,2731.00,2749.25,2729.00,857.85K,0.43%,"2,721.38",2747.514555,2695.235445,11.75,9.15,-5.3875,1.69837587,62.94067068
1-Jun-18,2733.75,2707.50,2737.00,2706.00,1.24M,1.04%,"2,717.61",2750.03791,2685.18709,28.25,8.575,-5.3875,1.591647332,61.41450313
31-May-18,2705.50,2720.25,2728.25,2699.75,1.67M,-0.70%,"2,714.43",2752.254291,2676.595709,-19,7.5125,-5.3875,1.394431555,58.23643411
30-May-18,2724.50,2693.25,2729.25,2685.75,1.42M,1.20%,"2,712.30",2756.481623,2668.118377,32.25,9.075,-4.4375,2.045070423,67.160037
29-May-18,2692.25,2729.00,2731.75,2675.00,1.99M,-1.09%,"2,707.66",2764.196438,2651.128562,-29.75,7.675,-4.4375,1.729577465,63.36429309
28-May-18,2722.00,2729.50,2731.75,2718.25,-,-0.27%,"2,704.43",2771.169229,2637.680771,-7.5,7.675,-4.1875,1.832835821,64.69968388
27-May-18,2729.50,2731.00,2731.00,2726.00,-,0.41%,"2,700.94",2771.020698,2630.854302,11.25,7.9375,-3.8125,2.081967213,67.55319149
25-May-18,2718.25,2726.75,2737.75,2713.75,993.78K,-0.34%,"2,696.81",2769.481156,2624.143844,-9.25,7.375,-5.0375,1.464019851,59.41591138
24-May-18,2727.50,2729.75,2733.25,2705.75,1.28M,-0.12%,"2,694.48",2767.247699,2621.702301,-3.25,7.375,-4.725,1.560846561,60.95041322
23-May-18,2730.75,2724.50,2733.00,2704.50,1.30M,0.17%,"2,691.83",2763.383975,2620.266025,4.75,8.875,-4.5625,1.945205479,66.04651163
22-May-18,2726.00,2731.25,2741.75,2721.50,891.51K,-0.26%,"2,687.51",2759.588205,2615.436795,-7,9.1,-4.5625,1.994520548,66.60567246
21-May-18,2733.00,2728.75,2739.25,2724.25,951.91K,0.74%,"2,682.98",2756.264782,2609.685218,20,9.1,-6.0125,1.513513514,60.21505376
18-May-18,2713.00,2718.75,2727.00,2708.75,1.01M,-0.21%,"2,679.89",2749.409832,2610.365168,-5.75,8.1,-6.025,1.34439834,57.34513274
17-May-18,2718.75,2721.75,2732.00,2711.00,1.07M,-0.16%,"2,677.81",2745.629955,2609.995045,-4.25,8.1,-6.8125,1.188990826,54.31684828
16-May-18,2723.00,2711.25,2728.00,2704.50,1.06M,0.52%,"2,676.53",2742.007601,2611.042399,14,8.1,-7.4375,1.08907563,52.13193886
