population,income,NAME,FIPS,StateCode,StateName,CountyFips,CountyName,CountyTotalVote,trump_share
55221,51281,"Autauga County, Alabama",1001,AL,alabama,1001,Autauga,24661,0.734357893
195121,50254,"Baldwin County, Alabama",1003,AL,alabama,1003,Baldwin,94090,0.77351472
26932,32964,"Barbour County, Alabama",1005,AL,alabama,1005,Barbour,10390,0.522714148
22604,38678,"Bibb County, Alabama",1007,AL,alabama,1007,Bibb,8748,0.769661637
57710,45813,"Blount County, Alabama",1009,AL,alabama,1009,Blount,25384,0.898518752
10678,31938,"Bullock County, Alabama",1011,AL,alabama,1011,Bullock,4701,0.242288875
20354,32229,"Butler County, Alabama",1013,AL,alabama,1013,Butler,8685,0.563154865
116648,41703,"Calhoun County, Alabama",1015,AL,alabama,1015,Calhoun,47376,0.692396994
34079,34177,"Chambers County, Alabama",1017,AL,alabama,1017,Chambers,13778,0.56633764
26008,36296,"Cherokee County, Alabama",1019,AL,alabama,1019,Cherokee,10503,0.838712749
43819,41627,"Chilton County, Alabama",1021,AL,alabama,1021,Chilton,18255,0.825417694
13395,33536,"Choctaw County, Alabama",1023,AL,alabama,1023,Choctaw,7268,0.564391855
25070,32011,"Clarke County, Alabama",1025,AL,alabama,1025,Clarke,12936,0.549551639
13537,35327,"Clay County, Alabama",1027,AL,alabama,1027,Clay,6572,0.795800365
15002,38056,"Cleburne County, Alabama",1029,AL,alabama,1029,Cleburne,6532,0.878444581
50884,46729,"Coffee County, Alabama",1031,AL,alabama,1031,Coffee,20513,0.771462
54444,40576,"Colbert County, Alabama",1033,AL,alabama,1033,Colbert,24626,0.678875985
12865,24900,"Conecuh County, Alabama",1035,AL,alabama,1035,Conecuh,6543,0.521626165
11027,31212,"Coosa County, Alabama",1037,AL,alabama,1037,Coosa,5223,0.646371817
37886,36444,"Covington County, Alabama",1039,AL,alabama,1039,Covington,15818,0.835883171
13938,36022,"Crenshaw County, Alabama",1041,AL,alabama,1041,Crenshaw,6252,0.721529111
80965,38971,"Cullman County, Alabama",1043,AL,alabama,1043,Cullman,37278,0.878105049
49866,45028,"Dale County, Alabama",1045,AL,alabama,1045,Dale,18617,0.741150561
42154,27306,"Dallas County, Alabama",1047,AL,alabama,1047,Dallas,18730,0.308809397
71068,38192,"DeKalb County, Alabama",1049,AL,alabama,1049,DeKalb,26086,0.834892279
80763,53555,"Elmore County, Alabama",1051,AL,alabama,1051,Elmore,36905,0.748380978
37935,32330,"Escambia County, Alabama",1053,AL,alabama,1053,Escambia,15213,0.675869322
103766,39220,"Etowah County, Alabama",1055,AL,alabama,1055,Etowah,43474,0.739108433
